SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5750 Bou Ave #1614,Rockville,MD,20852,598000,2,2.0,MIDTOWN BETHESDA NORTH C,1611,,2007,12,371,1009,Active,,,http://www.redfin.com/MD/Rockville/5750-Bou-Ave-20852/unit-1614/home/23467603,BRIGHT MLS,MDMC2020194,N,Y,39.0568655,-77.1167645
MLS Listing,,Townhouse,3925 Charles Ave,Alexandria,VA,22305,799000,3,3.5,SUNNYSIDE,2208,1850,1993,13,362,,Active,,,http://www.redfin.com/VA/Alexandria/3925-Charles-Ave-22305/home/11869469,BRIGHT MLS,VAAX2004912,N,Y,38.8416703,-77.0654833
MLS Listing,,Vacant Land,2017 Rear 2nd St NE,Washington,DC,20002,292500,,,ECKINGTON,,4751,,13,,,Active,,,http://www.redfin.com/DC/Washington/2017-2nd-St-NE-20002/unit-B/home/177053203,BRIGHT MLS,DCDC2018262,N,Y,38.9173401,-77.0032425
MLS Listing,,Condo/Co-op,5916 Founders Hill Dr #202,Alexandria,VA,22310,369999,2,2.0,FOUNDERS WALK CONDO,1069,,1996,13,346,345,Active,,,http://www.redfin.com/VA/Alexandria/5916-Founders-Hill-Dr-22310/unit-202/home/9755202,BRIGHT MLS,VAFX2027578,N,Y,38.791195,-77.140721
MLS Listing,,Condo/Co-op,307 Taylor St NW #1,Washington,DC,20011,555000,2,2.0,PETWORTH,1022,,1922,13,543,240,Active,,,http://www.redfin.com/DC/Washington/307-Taylor-St-NW-20011/unit-1/home/113673596,BRIGHT MLS,DCDC2018240,N,Y,38.9412237,-77.0161801
MLS Listing,,Townhouse,1371 Powhatan St,Alexandria,VA,22314,1049990,3,4.0,THE TOWNS AT 1333,2292,,2017,13,458,215,Active,,,http://www.redfin.com/VA/Alexandria/1371-Powhatan-St-22314/home/145722841,BRIGHT MLS,VAAX2004888,N,Y,38.8198558,-77.047556
MLS Listing,,Single Family Residential,2915 Harrison Rd,Falls Church,VA,22042,849000,5,4.0,TYLER PARK,2137,7865,1946,13,397,,Active,November-7-2021 01:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/VA/Falls-Church/2915-Harrison-Rd-22042/home/9556753,BRIGHT MLS,VAFX2026458,N,Y,38.8729247,-77.1951894
MLS Listing,,Single Family Residential,9909 E Light Dr,Silver Spring,MD,20903,475000,5,2.0,OAKVIEW,1842,7436,1954,13,258,,Active,,,http://www.redfin.com/MD/Silver-Spring/9909-E-Light-Dr-20903/home/10561225,BRIGHT MLS,MDMC2020382,N,Y,39.0189658,-76.9835452
MLS Listing,,Townhouse,2049 Winged Foot Ct,Reston,VA,20191,509900,3,2.5,RESTON SEC 44 BLK 1C GLE,1449,1760,1977,13,352,105,Active,,,http://www.redfin.com/VA/Reston/2049-Winged-Foot-Ct-20191/home/9334785,BRIGHT MLS,VAFX2026938,N,Y,38.939938,-77.346412
MLS Listing,,Condo/Co-op,50 Florida Ave NE #409,Washington,DC,20002,520000,1,1.0,ECKINGTON,655,,2019,14,794,300,Active,,,http://www.redfin.com/DC/Washington/50-Florida-Ave-NE-20002/unit-409/home/169197305,BRIGHT MLS,DCDC2017184,N,Y,38.910235,-77.0072321
MLS Listing,,Condo/Co-op,900 N Stafford St #1701,Arlington,VA,22203,324900,1,1.0,ALTA VISTA,595,,1989,14,546,372,Active,,,http://www.redfin.com/VA/Arlington/900-N-Stafford-St-22203/unit-1701/home/11246080,BRIGHT MLS,VAAR2006330,N,Y,38.8817216,-77.1108967
MLS Listing,,Condo/Co-op,4200 Cathedral Ave NW #316,Washington,DC,20016,299900,2,1.0,WESLEY HEIGHTS,935,,1957,14,321,907,Active,,,http://www.redfin.com/DC/Washington/4200-Cathedral-Ave-NW-20016/unit-316/home/9958160,BRIGHT MLS,DCDC2017518,N,Y,38.9297268,-77.0829829
MLS Listing,,Condo/Co-op,2911 S Dinwiddie St Unit B1,Arlington,VA,22206,415000,2,1.0,FAIRLINGTON VILLAGE,1031,,1948,14,403,342,Active,,,http://www.redfin.com/VA/Arlington/2911-S-Dinwiddie-St-22206/unit-B1/home/11861517,BRIGHT MLS,VAAX2004766,N,Y,38.8393583,-77.1041261
MLS Listing,,Condo/Co-op,3015 Nicosh Cir #2104,Falls Church,VA,22042,382000,2,2.0,HIGH POINTE AT JEFFERSON,1108,,2000,15,345,440,Active,,,http://www.redfin.com/VA/Falls-Church/3015-Nicosh-Cir-22042/unit-2104/home/9852024,BRIGHT MLS,VAFX2001779,N,Y,38.869094,-77.2212092
